customerid,tenure,monthlycharges,total_value,contract,churn
5940-AHUHD,1,70.6,70.6,Month-to-month,1
8309-IEYJD,1,70.6,70.6,Month-to-month,0
8051-HJRLT,1,70.55,70.55,Month-to-month,1
1915-IOFGU,1,70.5,70.5,Month-to-month,1
2585-KTFRE,1,70.45,70.45,Month-to-month,0
0390-DCFDQ,1,70.45,70.45,Month-to-month,1
0515-YPMCW,1,70.45,70.45,Month-to-month,1
4759-TRPLW,1,70.4,70.4,Month-to-month,1
7465-ZZRVX,1,70.35,70.35,Month-to-month,0
1363-TXLSL,1,70.3,70.3,Month-to-month,1
2446-PLQVO,1,70.3,70.3,Month-to-month,1
6653-CBBOM,1,70.3,70.3,Month-to-month,1
3244-DCJWY,1,70.25,70.25,Month-to-month,1
1640-PLFMP,1,70.25,70.25,Month-to-month,0
9605-WGJVW,1,70.2,70.2,Month-to-month,0
9985-MWVIX,1,70.15,70.15,Month-to-month,1
2619-WFQWU,1,70.15,70.15,Month-to-month,1
1846-XWOQN,1,70.15,70.15,Month-to-month,1
0328-GRPMV,1,70.1,70.1,Month-to-month,1
4702-IOQDC,1,70.1,70.1,Month-to-month,1
2262-SLNVK,1,70.1,70.1,Month-to-month,0
3494-JCHRQ,1,70.05,70.05,Month-to-month,1
9603-OAIHC,1,70.05,70.05,Month-to-month,0
4075-WKNIU,0,73.35,0.0,Two year,0
5709-LVOEQ,0,80.85,0.0,Two year,0
