customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,gender_encoded,contract_encoded,internetservice_encoded,paymentmethod_encoded,total_value,is_high_value,is_high_risk,avg_monthly_total,business_anomaly_score,is_business_anomaly
8015-IHCGW,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,115.5,8425.15,0,0,2,2,0,8316.0,1,0,117.01597222222222,-0.06624948797916674,1
8261-GWDBQ,Female,1,1,0,60,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),116.05,6925.9,0,0,2,2,2,6963.0,1,0,115.43166666666666,-0.042628697919592784,1
3882-IYOIJ,Female,0,1,1,60,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),115.25,6758.45,0,0,2,2,3,6915.0,1,0,112.64083333333332,-0.027944843411633835,1
9861-PDSZP,Female,0,0,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),108.05,7806.6,0,0,2,2,3,7779.599999999999,1,0,108.425,-0.0018066187221374985,1
2632-IVXVF,Female,0,1,1,68,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),111.75,7511.3,0,0,2,2,3,7599.0,1,0,110.46029411764708,-0.003163798269039786,1
8915-NNTRC,Male,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),107.7,7919.8,0,1,2,2,3,7754.400000000001,1,0,109.99722222222222,-0.003490318951963056,1
7446-KQISO,Male,0,1,1,45,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),109.75,4900.65,0,1,2,2,2,4938.75,1,0,108.90333333333332,-0.0008343531946982674,1
0266-GMEAO,Male,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),114.3,8058.55,0,1,2,2,3,8229.6,1,0,111.92430555555556,-0.034758138277592554,1
8309-PPCED,Female,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),110.45,7982.5,0,0,2,2,2,7952.400000000001,1,0,110.86805555555556,-0.0045759910505444035,1
6904-JLBGY,Female,1,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),117.35,8436.25,0,0,2,2,3,8449.199999999999,1,0,117.17013888888889,-0.07730700613650388,1
7030-FZTFM,Male,0,1,1,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),110.9,7922.75,0,1,2,2,3,7984.8,1,0,110.03819444444444,-0.005873537485255986,1
0906-QVPMS,Male,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),115.15,8349.45,0,1,2,2,2,8290.800000000001,1,0,115.96458333333334,-0.057665867518502,1
0017-IUDMW,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),116.8,8456.75,0,0,2,2,3,8409.6,1,0,117.45486111111111,-0.07598111309845901,1
9031-ZVQPT,Male,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,108.2,7840.6,0,1,2,2,0,7790.400000000001,1,0,108.89722222222224,-0.001922562642095893,1
6480-YAGIY,Male,0,0,0,45,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),112.2,5031.85,0,1,1,2,3,5049.0,1,0,111.81888888888888,-0.014264503897979397,1
5451-YHYPW,Female,1,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),115.75,8443.7,0,0,2,2,3,8334.0,1,0,117.27361111111112,-0.06755560810373873,1
9360-AHGNL,Female,1,1,0,43,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,1,Mailed check,109.55,4830.25,1,0,1,2,1,4710.65,1,0,112.3313953488372,-0.0009690694879953554,1
2121-JAFOM,Female,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),115.55,8312.4,0,0,2,2,3,8319.6,1,0,115.45,-0.056808199710286944,1
2931-SVLTV,Male,0,1,1,40,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),110.1,4469.1,0,1,0,2,3,4404.0,1,0,111.7275,-0.010172924508075498,1
3244-CQPHU,Female,1,0,0,72,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),110.1,7746.7,0,0,2,2,2,7927.2,1,0,107.59305555555557,-2.938023436205306e-05,1
9896-UYMIE,Male,0,0,0,66,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),114.3,7383.7,0,1,1,2,2,7543.8,1,0,111.87424242424242,-0.02096695154300865,1
7576-JMYWV,Female,1,1,1,46,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,110.2,4972.1,0,0,0,2,0,5069.2,1,0,108.08913043478262,-0.0041426103583313,1
0442-ZXKVS,Female,1,1,0,54,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),115.6,6431.05,0,0,1,2,2,6242.4,1,0,119.09351851851852,-0.029763940078959106,1
5914-XRFQB,Male,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),115.8,8424.9,0,1,2,2,2,8337.6,1,0,117.0125,-0.06930123067029736,1
5322-TEUJK,Female,0,1,1,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),114.6,8100.25,0,0,2,2,2,8136.599999999999,1,0,114.08802816901408,-0.03873801108688457,1
7569-NMZYQ,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),118.75,8672.45,0,0,2,2,2,8550.0,1,0,120.45069444444444,-0.08085590632767492,1
1741-WTPON,Male,0,1,1,56,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,115.85,6567.9,0,1,2,2,1,6487.599999999999,1,0,117.28392857142856,-0.023606516140984635,1
2889-FPWRM,Male,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),117.8,8684.8,1,1,1,2,2,8481.6,1,0,120.6222222222222,-0.07996687961544169,1
8513-OLYGY,Male,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),115.8,8332.15,0,1,2,2,3,8337.6,1,0,115.72430555555556,-0.06024584538471833,1
3680-CTHUH,Male,0,0,0,60,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),116.6,7049.5,0,1,1,2,3,6996.0,1,0,117.49166666666666,-0.043799767349187446,1
5172-RKOCB,Male,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),108.95,7875.0,0,1,2,2,3,7844.400000000001,1,0,109.375,-0.0015780796430324706,1
9356-AXGMP,Male,0,1,0,38,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,110.7,4428.6,0,1,1,2,0,4206.6,1,0,116.54210526315792,-0.0028263040649932902,1
9298-WGMRW,Female,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),115.5,8312.75,0,0,2,2,2,8316.0,1,0,115.45486111111111,-0.056808199710286944,1
1043-UXOVO,Female,0,0,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),113.15,7993.3,0,0,2,2,3,8033.650000000001,1,0,112.58169014084508,-0.025974321708346015,1
3892-NXAZG,Male,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),114.05,8289.2,0,1,2,2,3,8211.6,1,0,115.1277777777778,-0.05044141176103767,1
5734-EJKXG,Female,0,0,0,61,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,118.6,7365.7,0,0,1,2,0,7234.599999999999,1,0,120.74918032786886,-0.048432662850136254,1
9695-IDRZR,Female,0,0,1,34,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),116.15,3946.9,0,0,2,2,3,3949.1,1,0,116.08529411764708,-0.01408052447974839,1
9475-NNDGC,Male,0,1,0,71,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),113.15,7953.25,0,1,1,2,2,8033.650000000001,1,0,112.01760563380282,-0.022721676059635265,1
2302-ANTDP,Female,1,1,0,48,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,0,Electronic check,117.45,5438.9,1,0,0,2,0,5637.6,1,0,113.31041666666664,-0.028211616287975083,1
5304-EFJLP,Male,1,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),111.65,8022.85,0,1,2,2,2,8038.8,1,0,111.42847222222224,-0.011509220376589968,1
9746-MDMBK,Male,0,1,1,47,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),113.45,5317.8,0,1,1,2,2,5332.150000000001,1,0,113.14468085106384,-0.02180211292772194,1
2272-WUSPA,Female,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Electronic check,110.75,7751.7,0,0,2,2,0,7974.0,1,0,107.6625,-0.004462552047825086,1
8920-NAVAY,Male,1,0,0,62,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),110.75,7053.35,0,1,1,2,2,6866.5,1,0,113.76370967741936,-0.004198807692289863,1
0052-DCKON,Male,0,1,0,66,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),115.8,7942.15,0,1,1,2,2,7642.8,1,0,120.33560606060604,-0.04797837309162445,1
2599-CIPQE,Male,0,1,1,71,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),109.3,7782.85,0,1,2,2,3,7760.3,1,0,109.61760563380282,-0.007529044028701359,1
9258-CNWAC,Female,0,1,1,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),113.65,8166.8,0,0,2,2,3,8069.150000000001,1,0,115.02535211267606,-0.04003108837389213,1
8199-ZLLSA,Male,0,0,0,67,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),118.35,7804.15,1,1,1,2,2,7929.45,1,0,116.47985074626864,-0.04909889743181661,1
8016-NCFVO,Male,1,0,0,55,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,116.5,6382.55,0,1,0,2,0,6407.5,1,0,116.04636363636364,-0.02742367591267858,1
7566-DSRLQ,Female,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,110.15,7998.8,0,0,2,2,0,7930.8,1,0,111.09444444444443,-0.0038622637692853345,1
7245-JMTTQ,Female,0,0,0,51,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,111.5,5703.25,0,0,1,2,0,5686.5,1,0,111.82843137254902,-0.004119636988523134,1
3511-BFTJW,Male,0,1,1,72,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Credit card (automatic),38.5,2763.0,0,1,2,1,3,2772.0,1,0,38.375,-0.005573065642612285,1
2615-YVMYX,Male,1,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,107.5,7713.55,0,1,0,2,0,7632.5,1,0,108.64154929577464,-0.0007269583629250231,1
4393-GEADV,Male,0,1,1,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),114.75,7842.3,0,1,2,2,3,8032.5,1,0,112.03285714285714,-0.036456357883081325,1
3642-GKTCT,Female,0,0,0,61,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Mailed check,115.1,6993.65,0,0,1,2,1,7021.099999999999,1,0,114.65,-0.03597976952134374,1
9866-OCCKE,Female,1,1,0,72,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Mailed check,109.75,8075.35,0,0,2,2,1,7902.0,1,0,112.1576388888889,-0.006429999811303988,1
9788-HNGUT,Male,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),116.95,8594.4,0,1,2,2,3,8420.4,1,0,119.36666666666666,-0.07819243114443153,1
5375-XLDOF,Male,0,1,1,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),114.35,7665.8,0,1,2,2,2,7890.15,1,0,111.09855072463768,-0.031043942404320624,1
7929-SKFGK,Male,0,1,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),114.3,8244.3,0,1,2,2,3,8001.0,1,0,117.77571428571429,-0.05502223558862973,1
8029-XYPWT,Male,1,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),115.05,8016.6,0,1,2,2,2,8168.55,1,0,112.90985915492958,-0.03873801108688457,1
0675-NCDYU,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),116.4,8543.25,0,0,2,2,3,8380.800000000001,1,0,118.65625,-0.0728066805911406,1
5271-YNWVR,Male,0,1,1,68,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,113.15,7856.0,1,1,2,2,0,7694.200000000001,1,0,115.52941176470588,-0.029935419588065226,1
1984-FCOWB,Female,0,1,0,70,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,109.5,7674.55,1,0,1,2,0,7665.0,1,0,109.63642857142855,-0.003553464245723781,1
6297-NOOPG,Female,0,1,0,70,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,110.5,7752.05,0,0,2,2,0,7735.0,1,0,110.74357142857144,-0.010631837153758927,1
8707-HOEDG,Female,0,1,1,70,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,110.2,7689.8,0,0,2,2,0,7714.0,1,0,109.85428571428572,-0.004938492091799196,1
5135-GRQJV,Male,1,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Mailed check,114.5,8331.95,0,1,2,2,1,8244.0,1,0,115.7215277777778,-0.05469815724933291,1
3407-JMJQQ,Female,0,1,1,71,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),109.0,7661.8,0,0,2,2,2,7739.0,1,0,107.91267605633804,-0.004228077488175552,1
1162-ECVII,Male,1,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),109.75,7932.5,0,1,2,2,2,7902.0,1,0,110.17361111111111,-0.0008429910476527303,1
2419-FSORS,Male,0,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,108.4,7719.5,0,1,2,2,0,7804.8,1,0,107.21527777777776,-0.0004868806945044213,1
8099-MZPUJ,Male,0,1,1,48,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),111.8,5443.65,0,1,2,2,3,5366.4,1,0,113.409375,-0.004839715299944425,1
3396-DKDEL,Female,0,1,1,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),115.15,8250.0,0,0,2,2,3,8060.5,1,0,117.85714285714286,-0.05971117302768758,1
5183-KLYEM,Female,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),112.75,8192.6,0,0,2,2,3,8118.0,1,0,113.78611111111113,-0.027528904027073753,1
2193-SFWQW,Male,0,1,1,72,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),111.95,8033.1,0,1,2,2,2,8060.400000000001,1,0,111.57083333333334,-0.012704118114200358,1
8008-ESFLK,Female,0,1,0,53,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Electronic check,110.5,5835.5,0,0,1,2,0,5856.5,1,0,110.10377358490568,-0.0035507599492659025,1
1555-DJEQW,Female,0,1,1,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),114.2,7723.9,1,0,2,2,2,7994.0,1,0,110.34142857142857,-0.030863717345310238,1
8085-MSNLK,Female,0,1,0,62,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,113.95,6891.4,0,0,2,2,1,7064.900000000001,1,0,111.1516129032258,-0.025052417519854098,1
9249-FXSCK,Female,0,0,0,52,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,1,Credit card (automatic),111.25,5916.45,1,0,1,2,3,5785.0,1,0,113.7778846153846,-0.004863310097341089,1
9924-JPRMC,Male,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,118.2,8547.15,0,1,2,2,0,8510.4,1,0,118.71041666666666,-0.08041124259573729,1
3726-TBHQT,Male,0,1,1,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),114.0,8175.9,0,1,2,2,2,8094.0,1,0,115.15352112676057,-0.043363125092093835,1
8901-UPRHR,Female,0,1,1,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),109.2,7711.45,0,0,2,2,2,7862.400000000001,1,0,107.10347222222222,-0.0005566467227932081,1
4789-KWMXN,Male,0,1,0,47,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),110.85,5275.8,1,1,1,2,3,5209.95,1,0,112.25106382978724,-0.013403770551631888,1
4476-OSWTN,Male,1,1,0,69,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,1,Mailed check,110.55,7610.1,0,1,1,2,1,7627.95,1,0,110.2913043478261,-0.0014582515435129784,1
9053-JZFKV,Male,0,0,0,67,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),116.2,7752.3,1,1,2,2,3,7785.400000000001,1,0,115.70597014925372,-0.04572142374382704,1
0864-FVJNJ,Female,0,1,1,64,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Electronic check,113.35,7222.75,0,0,1,2,0,7254.4,1,0,112.85546875,-0.010196240746657814,1
6308-CQRBU,Female,0,1,0,71,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,109.25,7707.7,0,0,2,2,0,7756.75,1,0,108.55915492957746,-0.005014547153284865,1
0186-CAERR,Male,0,0,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),116.3,8309.55,0,1,1,2,2,8257.3,1,0,117.03591549295774,-0.06516173719090157,1
3258-ZKPAI,Male,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),116.6,8337.45,0,1,2,2,2,8395.199999999999,1,0,115.79791666666668,-0.0672675480932926,1
4868-AADLV,Male,1,1,1,66,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,116.25,7862.25,0,1,1,2,0,7672.5,1,0,119.125,-0.04797837309162445,1
3518-FSTWG,Male,1,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),109.55,7920.7,0,1,2,2,2,7887.599999999999,1,0,110.00972222222222,-0.0027415432103704562,1
1444-VVSGW,Male,0,1,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Credit card (automatic),115.65,7968.85,1,1,1,2,3,8095.5,1,0,113.84071428571428,-0.0412724034389893,1
3795-CAWEX,Male,0,1,1,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),116.55,8152.3,0,1,2,2,3,8158.5,1,0,116.46142857142856,-0.05780325155527888,1
4909-JOUPP,Male,1,1,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),109.7,7898.45,0,1,2,2,3,7898.400000000001,1,0,109.70069444444444,-0.001233801773429688,1
8561-NMTBD,Female,0,1,1,67,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),112.35,7388.45,0,0,1,2,3,7527.45,1,0,110.27537313432836,-0.001410179986566229,1
2380-DAMQP,Female,0,1,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,115.15,8349.7,0,0,2,2,0,8290.800000000001,1,0,115.96805555555557,-0.057665867518502,1
9739-JLPQJ,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),117.5,8670.1,0,0,2,2,3,8460.0,1,0,120.41805555555555,-0.07996687961544169,1
1320-GVNHT,Male,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Credit card (automatic),108.4,7767.25,0,1,2,2,3,7804.8,1,0,107.87847222222224,-0.0006107577761448324,1
8071-SBTRN,Female,0,0,0,70,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,1,Mailed check,111.15,7737.55,0,0,2,2,1,7780.5,1,0,110.53642857142856,-0.016009925152065785,1
3508-CFVZL,Female,0,0,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,111.3,7985.9,0,0,2,2,1,7902.3,1,0,112.4774647887324,-0.015181058507114376,1
0530-IJVDB,Male,0,0,1,70,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,114.6,7882.5,0,1,2,2,0,8022.0,1,0,112.60714285714286,-0.03521329771992365,1
6664-FPDAC,Female,1,0,0,56,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,111.95,6418.9,1,0,1,2,0,6269.2,1,0,114.62321428571428,-0.001373388889088445,1
