lead_age_days,email_opens,website_visits,demo_requested,pricing_page_visits,company_size,industry,lead_source,response_time_hours,num_interactions,budget_indicated,decision_maker,converted,conversion_probability,lead_score,lead_grade
26,7,48,1,1,3,1,1,12,27,1,0,1,0.99,99.0,Very Hot
50,16,44,0,1,2,0,1,34,12,1,0,1,0.97,97.0,Very Hot
25,4,17,0,3,2,2,2,61,27,0,0,0,0.02,2.0,Cold
24,6,1,0,8,4,2,1,53,8,1,1,0,0.03,3.0,Cold
13,19,12,0,7,2,4,3,25,3,1,0,0,0.08,8.0,Cold
60,19,44,1,1,3,4,0,62,2,1,1,1,0.87,87.0,Very Hot
7,3,14,1,7,2,1,2,4,28,0,0,1,0.52,52.0,Hot
57,5,19,1,3,4,1,0,13,6,0,0,0,0.05,5.0,Cold
36,6,28,1,1,3,1,2,42,16,1,0,0,0.24,24.0,Cold
45,17,41,1,9,1,4,2,49,20,1,1,1,0.99,99.0,Very Hot
20,4,28,0,6,3,4,0,56,24,0,0,0,0.13,13.0,Cold
65,19,2,1,5,2,0,1,47,29,0,1,0,0.07,7.0,Cold
8,2,18,0,9,1,3,1,8,15,0,1,0,0.07,7.0,Cold
16,6,2,0,4,3,3,1,55,14,0,1,0,0.0,0.0,
14,13,13,0,0,1,0,1,18,2,1,0,0,0.0,0.0,
76,6,39,1,1,1,3,0,35,20,1,0,1,0.86,86.0,Very Hot
87,4,3,1,7,1,4,3,32,18,0,1,0,0.06,6.0,Cold
15,4,10,0,0,3,3,2,24,14,1,1,0,0.0,0.0,
66,1,30,1,2,2,4,0,7,18,0,0,0,0.16,16.0,Cold
32,5,42,1,1,3,0,1,13,2,1,1,1,0.81,81.0,Very Hot
87,14,31,0,4,2,1,1,69,1,0,0,0,0.04,4.0,Cold
63,9,26,0,3,3,0,0,42,20,0,1,0,0.09,9.0,Cold
86,6,29,1,6,3,3,2,31,2,1,0,0,0.33,33.0,Warm
51,4,42,0,4,3,4,0,26,9,0,0,0,0.19,19.0,Cold
25,0,1,0,7,2,3,0,32,9,0,0,0,0.01,1.0,Cold
58,12,48,0,3,3,3,3,52,16,0,1,1,0.49,49.0,Warm
63,17,8,0,5,1,1,0,20,11,0,1,0,0.03,3.0,Cold
62,12,27,1,3,3,3,3,40,27,0,0,1,0.56,56.0,Hot
22,17,30,0,1,1,1,2,59,23,0,1,0,0.15,15.0,Cold
58,4,33,1,0,4,4,0,14,6,1,1,0,0.29,29.0,Warm
58,12,14,1,0,4,4,0,44,12,1,1,0,0.05,5.0,Cold
86,3,47,1,7,2,1,1,48,3,0,0,0,0.12,12.0,Cold
49,16,24,0,3,2,0,0,43,12,1,1,0,0.03,3.0,Cold
52,2,35,0,4,4,4,1,16,23,0,0,0,0.18,18.0,Cold
42,16,7,0,7,3,0,1,35,1,0,0,0,0.03,3.0,Cold
70,10,8,0,6,3,4,1,53,9,0,1,0,0.05,5.0,Cold
15,19,36,1,7,3,4,2,34,20,0,1,1,0.98,98.0,Very Hot
54,3,47,0,7,4,2,3,3,22,1,1,1,0.94,94.0,Very Hot
60,1,44,0,5,1,3,1,68,6,0,1,0,0.28,28.0,Warm
8,19,38,0,9,2,3,0,5,11,1,1,1,1.0,100.0,Very Hot
53,15,31,1,1,1,0,0,10,3,0,0,0,0.17,17.0,Cold
60,17,16,1,5,4,3,1,52,4,0,0,0,0.03,3.0,Cold
5,7,34,0,0,1,0,1,29,29,1,1,1,0.8,80.0,Very Hot
68,2,36,1,0,3,4,0,31,27,0,1,0,0.16,16.0,Cold
6,8,18,0,2,3,2,1,66,10,0,1,0,0.0,0.0,
47,19,43,0,2,1,2,3,69,19,0,1,1,0.87,87.0,Very Hot
55,5,28,1,4,4,4,3,37,29,0,1,1,0.57,57.0,Hot
40,9,6,0,0,1,1,2,27,6,1,1,0,0.01,1.0,Cold
52,9,27,1,9,3,1,1,33,1,0,0,0,0.11,11.0,Cold
16,12,8,0,5,3,3,2,68,8,0,0,0,0.02,2.0,Cold
13,16,27,0,6,4,0,2,59,8,1,1,1,0.29,29.0,Warm
30,8,5,1,9,1,2,2,64,25,0,1,0,0.22,22.0,Cold
19,16,28,0,2,3,3,1,44,6,0,1,0,0.08,8.0,Cold
17,8,16,1,3,3,4,2,49,17,0,0,0,0.04,4.0,Cold
63,8,15,1,9,1,2,3,53,19,0,1,1,0.79,79.0,Very Hot
19,0,22,0,9,1,0,2,49,1,0,1,0,0.1,10.0,Cold
58,1,30,0,9,2,0,3,66,15,0,1,0,0.13,13.0,Cold
55,15,2,0,9,4,1,3,63,13,1,0,0,0.03,3.0,Cold
62,0,20,0,9,4,3,1,25,21,0,1,0,0.02,2.0,Cold
23,9,25,0,2,1,4,2,4,3,0,1,0,0.09,9.0,Cold
9,17,35,0,0,4,2,1,51,2,0,1,0,0.24,24.0,Cold
12,7,41,0,7,3,0,3,11,3,0,1,1,0.9,90.0,Very Hot
1,10,36,0,9,1,2,0,17,9,1,1,1,0.86,86.0,Very Hot
58,1,21,1,9,1,4,2,66,27,0,0,0,0.27,27.0,Warm
1,7,41,1,1,1,2,1,70,16,0,0,0,0.18,18.0,Cold
34,7,11,1,0,2,3,0,69,24,0,1,0,0.01,1.0,Cold
48,16,41,0,7,4,1,2,29,13,0,0,1,0.91,91.0,Very Hot
89,14,12,1,6,2,2,2,20,19,1,1,1,0.38,38.0,Warm
1,16,10,0,6,3,1,1,27,27,0,0,0,0.12,12.0,Cold
16,12,15,1,3,4,4,0,8,18,0,0,0,0.14,14.0,Cold
61,18,7,1,8,2,1,1,61,21,0,1,1,0.75,75.0,Hot
64,4,39,0,5,1,2,2,28,12,0,0,0,0.1,10.0,Cold
63,11,39,0,1,2,2,2,70,28,0,1,0,0.45,45.0,Warm
69,0,44,1,0,1,0,3,3,29,0,1,1,0.86,86.0,Very Hot
22,4,1,1,0,2,2,2,69,12,1,0,0,0.0,0.0,
67,7,29,1,8,2,1,2,7,1,0,1,1,0.87,87.0,Very Hot
76,12,29,0,3,2,0,0,60,20,1,0,0,0.08,8.0,Cold
26,7,11,0,4,1,2,0,4,8,0,1,0,0.03,3.0,Cold
16,10,9,0,2,2,2,3,5,17,1,0,0,0.05,5.0,Cold
51,0,43,1,3,4,4,3,11,21,0,0,1,0.91,91.0,Very Hot
86,12,10,0,7,4,0,3,15,28,1,1,1,0.39,39.0,Warm
57,18,14,1,3,4,4,1,64,20,0,1,0,0.1,10.0,Cold
29,2,15,0,8,1,4,1,13,22,0,0,0,0.01,1.0,Cold
78,16,16,0,8,1,4,3,7,7,1,1,1,0.82,82.0,Very Hot
69,4,25,0,5,4,3,1,6,9,0,1,0,0.05,5.0,Cold
47,19,1,1,1,4,4,2,56,17,0,1,0,0.04,4.0,Cold
62,7,49,0,9,4,1,3,64,27,0,0,1,0.73,73.0,Hot
69,13,11,0,6,3,2,3,50,10,0,1,0,0.0,0.0,
76,3,25,0,8,4,3,1,30,4,0,1,0,0.06,6.0,Cold
16,10,22,0,5,2,4,0,22,22,0,1,0,0.1,10.0,Cold
48,19,17,0,2,3,2,3,25,26,0,1,0,0.24,24.0,Cold
85,14,31,1,6,3,0,1,28,7,0,0,1,0.76,76.0,Very Hot
39,18,48,0,4,1,0,1,39,7,0,0,1,0.86,86.0,Very Hot
33,6,37,0,0,2,2,0,67,8,0,0,0,0.01,1.0,Cold
23,18,46,1,2,1,1,3,5,26,0,0,1,0.97,97.0,Very Hot
10,18,2,1,4,1,2,0,65,24,1,0,0,0.13,13.0,Cold
69,10,37,0,6,2,2,2,15,24,0,1,1,0.96,96.0,Very Hot
34,4,2,0,2,1,3,0,67,8,1,0,0,0.01,1.0,Cold
52,4,29,1,5,2,0,0,40,16,1,0,1,0.74,74.0,Hot
10,7,0,1,4,2,0,1,69,12,1,0,0,0.01,1.0,Cold
19,9,29,1,0,1,4,0,43,15,1,0,0,0.33,33.0,Warm
58,5,44,0,9,4,2,2,1,8,1,0,1,0.92,92.0,Very Hot
1,14,31,0,5,1,2,1,22,22,0,1,1,0.94,94.0,Very Hot
69,15,27,1,7,3,1,2,62,9,0,0,0,0.11,11.0,Cold
4,16,20,0,0,1,0,0,26,3,0,1,0,0.14,14.0,Cold
16,7,45,0,1,2,1,2,18,22,1,0,1,0.89,89.0,Very Hot
24,7,12,1,3,3,3,2,48,21,1,1,0,0.05,5.0,Cold
80,8,26,0,1,2,4,0,9,16,1,0,0,0.02,2.0,Cold
2,1,35,0,8,4,1,0,1,15,1,1,1,0.59,59.0,Hot
32,14,6,0,9,4,0,1,9,24,1,1,1,0.53,53.0,Hot
84,17,21,0,7,3,3,1,23,4,0,1,0,0.11,11.0,Cold
24,2,9,0,7,4,2,3,45,20,1,1,0,0.06,6.0,Cold
12,16,38,1,3,4,3,1,2,29,0,1,1,0.85,85.0,Very Hot
50,3,14,0,4,1,1,0,14,16,0,1,0,0.0,0.0,
35,3,14,0,3,1,0,2,38,10,0,1,0,0.0,0.0,
33,13,3,1,8,4,1,2,40,11,0,1,0,0.1,10.0,Cold
33,8,31,0,1,4,2,1,63,26,1,1,0,0.09,9.0,Cold
61,8,22,0,7,1,2,1,16,29,0,1,1,0.88,88.0,Very Hot
51,17,5,1,1,4,0,0,6,5,1,0,0,0.07,7.0,Cold
43,9,23,1,0,4,4,2,3,11,0,1,0,0.06,6.0,Cold
12,3,19,0,9,2,3,3,14,29,0,0,1,0.8,80.0,Very Hot
67,11,36,1,2,4,3,3,66,13,1,1,1,0.83,83.0,Very Hot
65,7,19,0,8,3,2,1,67,15,1,0,0,0.02,2.0,Cold
33,1,11,1,2,2,1,3,31,6,0,0,0,0.0,0.0,
40,12,32,0,8,3,1,0,33,16,0,1,1,0.94,94.0,Very Hot
74,15,27,1,6,4,4,3,1,15,0,1,1,0.88,88.0,Very Hot
43,1,7,0,9,1,1,1,44,11,1,0,0,0.02,2.0,Cold
44,10,0,0,0,2,3,0,15,20,1,0,0,0.02,2.0,Cold
29,9,36,0,9,1,1,2,37,2,0,0,0,0.18,18.0,Cold
13,14,21,0,4,2,4,0,27,28,0,1,1,0.79,79.0,Very Hot
12,16,5,1,8,1,3,1,48,28,1,0,1,0.86,86.0,Very Hot
46,7,20,0,2,2,1,1,27,2,1,1,0,0.0,0.0,
2,17,31,0,8,2,3,3,12,12,1,1,1,0.96,96.0,Very Hot
35,8,34,0,4,3,2,3,67,16,0,1,0,0.02,2.0,Cold
87,7,14,0,8,1,2,2,30,19,1,0,0,0.05,5.0,Cold
81,13,4,1,9,3,2,2,66,2,1,0,0,0.08,8.0,Cold
8,17,45,1,5,3,1,1,7,17,1,1,1,0.99,99.0,Very Hot
26,19,49,0,8,1,4,1,34,14,0,1,1,0.99,99.0,Very Hot
74,19,47,1,6,2,3,1,32,24,1,0,1,0.94,94.0,Very Hot
34,11,5,1,6,3,0,2,39,28,1,1,1,0.71,71.0,Hot
7,18,24,0,7,1,2,1,43,16,1,0,1,0.88,88.0,Very Hot
68,13,45,0,6,2,2,2,43,5,0,0,0,0.69,69.0,Hot
58,16,39,1,8,3,0,1,3,10,0,0,1,0.97,97.0,Very Hot
75,2,28,0,8,3,0,0,46,17,0,1,0,0.12,12.0,Cold
29,6,6,1,5,3,1,0,32,13,0,0,0,0.07,7.0,Cold
36,16,39,0,6,2,3,1,43,16,0,0,1,0.85,85.0,Very Hot
89,11,12,0,1,3,2,0,3,9,0,0,0,0.01,1.0,Cold
21,8,37,0,8,2,4,2,63,24,0,1,1,0.81,81.0,Very Hot
36,14,17,0,0,4,1,3,40,4,1,1,0,0.0,0.0,
10,17,1,1,0,3,1,0,18,24,0,0,0,0.08,8.0,Cold
73,12,7,0,2,4,4,3,67,29,0,0,0,0.06,6.0,Cold
24,7,10,0,5,1,4,0,62,28,1,0,0,0.06,6.0,Cold
64,13,32,1,4,3,4,2,10,29,0,1,1,0.97,97.0,Very Hot
49,7,37,0,1,1,0,0,52,26,0,0,0,0.12,12.0,Cold
36,13,47,0,8,1,2,0,46,16,0,1,1,0.97,97.0,Very Hot
82,6,26,1,9,1,0,1,55,23,0,0,1,0.8,80.0,Very Hot
24,11,19,1,3,4,2,3,46,27,0,0,0,0.19,19.0,Cold
23,10,11,0,3,2,0,3,60,11,0,0,0,0.0,0.0,
62,10,42,0,4,4,3,2,26,7,1,1,1,0.86,86.0,Very Hot
37,12,30,0,7,4,2,2,27,17,0,1,1,0.9,90.0,Very Hot
12,17,26,0,9,1,1,3,38,22,0,1,1,0.95,95.0,Very Hot
55,1,31,0,3,3,2,1,22,13,1,0,0,0.01,1.0,Cold
13,14,9,0,4,2,2,1,26,4,0,0,0,0.02,2.0,Cold
23,19,2,0,3,1,2,3,69,14,0,1,0,0.02,2.0,Cold
89,17,44,0,5,2,3,0,35,10,1,1,1,0.94,94.0,Very Hot
30,14,26,0,2,4,0,3,66,10,0,1,0,0.02,2.0,Cold
17,18,34,0,7,2,1,0,51,10,1,0,1,0.93,93.0,Very Hot
62,11,30,1,5,2,0,3,18,27,0,0,1,0.92,92.0,Very Hot
84,12,14,1,9,3,0,0,43,12,1,0,1,0.81,81.0,Very Hot
89,10,15,0,4,1,4,1,12,2,0,1,0,0.05,5.0,Cold
86,4,12,0,1,2,3,3,3,26,0,1,0,0.02,2.0,Cold
13,0,48,0,9,2,4,2,7,23,1,1,1,0.99,99.0,Very Hot
59,2,34,0,9,4,3,0,6,9,1,0,1,0.51,51.0,Hot
19,18,10,0,6,4,0,1,45,29,1,1,1,0.54,54.0,Hot
49,6,20,0,1,2,0,2,39,5,1,0,0,0.0,0.0,
12,11,10,0,0,1,3,1,51,8,1,0,0,0.01,1.0,Cold
61,14,29,1,6,2,0,0,9,21,0,1,1,0.98,98.0,Very Hot
19,4,47,0,4,2,0,3,23,14,0,1,1,0.77,77.0,Very Hot
76,14,34,0,0,3,1,1,12,7,0,1,0,0.08,8.0,Cold
9,7,21,1,3,1,4,3,62,7,1,1,0,0.08,8.0,Cold
71,9,37,0,3,3,4,3,40,9,1,0,0,0.11,11.0,Cold
28,15,30,0,9,1,4,1,54,3,1,1,1,0.86,86.0,Very Hot
78,7,13,0,6,1,2,1,7,14,1,1,0,0.05,5.0,Cold
52,0,23,0,8,1,1,1,17,17,1,0,0,0.06,6.0,Cold
83,11,49,1,1,3,4,3,50,18,0,1,1,0.82,82.0,Very Hot
16,4,48,0,0,3,4,2,24,12,0,1,0,0.1,10.0,Cold
69,2,31,0,1,3,1,0,2,22,1,0,0,0.03,3.0,Cold
12,0,35,0,6,4,0,2,33,14,0,0,0,0.11,11.0,Cold
25,3,31,0,9,3,4,3,21,26,0,0,1,0.84,84.0,Very Hot
52,7,14,1,5,4,0,1,53,26,0,1,0,0.15,15.0,Cold
85,2,42,1,3,4,4,1,46,28,0,1,1,0.87,87.0,Very Hot
53,9,34,0,0,4,3,0,45,13,1,1,0,0.2,20.0,Cold
23,1,2,0,0,2,2,0,9,14,0,0,0,0.0,0.0,
16,10,15,0,4,2,4,2,6,9,1,1,0,0.1,10.0,Cold
57,9,4,1,0,2,3,2,51,19,0,1,0,0.04,4.0,Cold
39,13,20,0,6,4,1,0,35,26,1,0,1,0.76,76.0,Very Hot
53,6,9,0,0,4,3,3,53,2,1,1,0,0.0,0.0,
42,1,18,0,0,1,1,2,19,11,1,1,0,0.01,1.0,Cold
58,8,24,0,1,4,4,1,69,17,1,0,0,0.0,0.0,
39,15,3,0,9,2,1,1,25,2,0,0,0,0.07,7.0,Cold
14,12,28,0,2,4,3,3,11,19,0,1,0,0.14,14.0,Cold
5,8,18,0,0,4,2,0,17,7,0,1,0,0.0,0.0,
35,19,42,0,8,1,0,2,36,18,1,1,1,0.99,99.0,Very Hot
87,3,1,0,9,4,0,1,21,13,1,1,0,0.05,5.0,Cold
75,9,9,1,7,3,2,0,18,5,0,0,0,0.04,4.0,Cold
18,11,42,0,4,1,0,2,60,18,1,0,1,0.9,90.0,Very Hot
76,16,24,0,1,4,4,3,18,23,0,1,0,0.11,11.0,Cold
9,13,19,0,4,4,4,1,1,26,0,0,0,0.12,12.0,Cold
74,13,47,0,5,1,3,3,14,24,1,1,1,0.95,95.0,Very Hot
58,1,18,0,0,4,3,3,8,24,0,0,0,0.02,2.0,Cold
17,19,22,1,3,2,1,3,66,29,0,0,1,0.84,84.0,Very Hot
7,10,23,0,8,3,3,2,51,16,1,0,1,0.81,81.0,Very Hot
46,15,10,1,1,3,4,3,60,15,1,0,0,0.03,3.0,Cold
13,18,45,0,4,2,3,2,34,8,0,1,1,0.92,92.0,Very Hot
40,5,33,0,0,4,0,2,36,26,1,0,0,0.05,5.0,Cold
42,18,27,0,3,4,1,3,62,15,0,1,0,0.07,7.0,Cold
9,4,4,0,3,3,1,3,1,25,0,1,0,0.02,2.0,Cold
50,3,4,1,5,4,4,0,42,1,1,0,0,0.0,0.0,
27,14,20,1,9,3,3,1,1,28,0,0,1,0.9,90.0,Very Hot
66,3,11,1,8,3,0,0,54,17,0,1,0,0.13,13.0,Cold
5,19,49,1,2,2,3,1,47,15,0,0,1,0.75,75.0,Hot
29,9,3,1,8,3,2,1,39,14,1,1,1,0.3,30.0,Warm
37,2,48,0,5,4,3,0,30,14,0,1,1,0.78,78.0,Very Hot
38,4,41,0,6,4,4,0,7,10,0,0,0,0.22,22.0,Cold
83,5,19,0,9,1,3,1,22,2,0,1,0,0.03,3.0,Cold
8,7,37,0,1,4,1,1,50,27,0,0,0,0.13,13.0,Cold
65,6,24,1,9,1,0,1,45,6,0,0,0,0.13,13.0,Cold
86,9,13,0,5,3,4,2,10,17,0,1,0,0.02,2.0,Cold
17,5,10,0,5,4,2,1,14,5,1,0,0,0.01,1.0,Cold
71,13,31,0,1,2,0,3,46,5,1,1,0,0.07,7.0,Cold
89,3,10,0,1,2,0,3,6,15,1,1,0,0.01,1.0,Cold
45,12,17,0,1,2,1,3,21,15,0,0,0,0.01,1.0,Cold
4,19,26,0,9,3,1,0,62,20,0,0,1,0.86,86.0,Very Hot
36,16,17,0,0,3,1,0,19,11,0,0,0,0.0,0.0,
70,6,22,0,4,1,4,0,62,5,0,0,0,0.01,1.0,Cold
31,3,10,0,7,2,3,1,53,28,0,0,0,0.05,5.0,Cold
19,13,20,0,1,1,0,3,24,1,1,1,0,0.01,1.0,Cold
61,2,43,0,4,1,3,1,56,11,0,1,0,0.13,13.0,Cold
54,4,4,0,7,4,3,2,62,11,0,1,0,0.02,2.0,Cold
39,15,22,0,9,4,1,2,34,6,0,0,0,0.23,23.0,Cold
74,19,40,0,4,2,3,0,22,23,0,1,1,0.95,95.0,Very Hot
19,3,24,0,1,3,0,2,68,8,1,1,0,0.02,2.0,Cold
39,1,40,0,2,4,0,3,57,2,0,0,0,0.01,1.0,Cold
67,17,9,0,5,3,2,2,10,15,1,0,0,0.03,3.0,Cold
45,18,21,0,4,1,4,0,66,23,0,0,0,0.03,3.0,Cold
13,18,18,0,3,1,3,1,8,22,1,1,1,0.76,76.0,Very Hot
58,16,0,1,3,1,4,2,38,9,0,1,0,0.06,6.0,Cold
20,13,6,0,4,1,4,3,62,15,1,1,0,0.05,5.0,Cold
72,18,3,1,1,2,4,3,28,8,0,1,0,0.05,5.0,Cold
61,12,0,0,8,1,4,3,10,16,0,1,0,0.23,23.0,Cold
39,11,14,0,1,4,0,1,45,27,0,0,0,0.02,2.0,Cold
1,5,39,0,9,1,3,3,65,14,0,1,1,0.94,94.0,Very Hot
3,3,11,0,1,3,2,0,67,15,0,1,0,0.03,3.0,Cold
77,18,21,0,9,4,4,0,9,20,1,0,1,0.5,50.0,Warm
62,15,21,0,8,3,2,3,5,13,0,1,1,0.77,77.0,Very Hot
63,12,49,0,2,3,0,2,10,9,0,0,0,0.18,18.0,Cold
25,3,46,0,9,2,0,3,12,1,1,0,1,0.8,80.0,Very Hot
56,16,16,0,6,2,1,0,58,27,0,1,0,0.34,34.0,Warm
33,0,28,0,3,3,4,0,21,6,0,1,0,0.03,3.0,Cold
38,17,45,0,5,3,1,0,21,8,1,0,1,0.94,94.0,Very Hot
6,19,13,0,3,1,2,2,65,27,1,1,1,0.42,42.0,Warm
58,16,49,1,9,4,3,2,3,27,1,0,1,0.99,99.0,Very Hot
44,14,19,1,6,1,1,2,69,20,1,1,1,0.55,55.0,Hot
45,10,49,1,0,2,0,0,64,18,0,0,1,0.88,88.0,Very Hot
32,12,47,0,2,2,4,1,49,27,1,0,1,0.93,93.0,Very Hot
45,0,32,1,2,1,2,3,17,18,0,0,0,0.2,20.0,Cold
61,16,42,1,0,4,0,3,32,26,0,0,1,0.88,88.0,Very Hot
47,5,14,0,5,3,3,0,70,17,1,0,0,0.01,1.0,Cold
21,3,11,0,8,1,4,2,21,21,0,1,0,0.07,7.0,Cold
80,19,39,1,7,2,3,1,7,16,0,0,1,0.93,93.0,Very Hot
85,15,19,0,6,4,3,1,7,13,0,0,0,0.02,2.0,Cold
75,14,29,0,9,2,4,2,27,22,0,0,1,0.9,90.0,Very Hot
36,14,37,0,7,4,4,3,8,4,0,0,1,0.9,90.0,Very Hot
19,5,2,0,5,4,3,3,28,4,0,0,0,0.02,2.0,Cold
20,14,27,1,8,4,2,1,66,21,0,0,1,0.98,98.0,Very Hot
57,13,25,0,2,1,4,1,71,14,0,0,0,0.02,2.0,Cold
18,10,29,0,9,1,0,2,47,5,0,0,0,0.11,11.0,Cold
47,6,12,0,9,1,1,3,10,16,0,1,0,0.13,13.0,Cold
49,8,12,0,8,4,2,1,33,14,1,1,0,0.15,15.0,Cold
14,15,1,0,3,4,4,3,7,14,0,0,0,0.04,4.0,Cold
15,4,36,0,6,2,4,1,3,14,1,0,1,0.8,80.0,Very Hot
31,19,48,1,8,3,2,2,14,25,0,0,1,1.0,100.0,Very Hot
1,9,37,0,1,1,1,3,44,24,0,0,0,0.37,37.0,Warm
54,17,1,0,1,4,3,1,46,25,0,0,0,0.03,3.0,Cold
3,2,35,0,8,2,0,1,61,29,0,1,1,0.79,79.0,Very Hot
16,12,25,0,2,2,4,1,36,14,0,0,0,0.0,0.0,
87,10,10,1,8,2,1,1,13,19,0,1,1,0.75,75.0,Hot
57,16,7,1,4,1,0,2,16,3,0,0,0,0.11,11.0,Cold
75,12,43,1,5,1,2,3,5,17,0,1,1,0.95,95.0,Very Hot
12,5,39,0,1,3,4,3,38,14,1,1,0,0.11,11.0,Cold
74,16,42,0,7,2,3,0,50,10,1,0,1,0.94,94.0,Very Hot
16,12,21,0,8,1,2,3,38,13,0,0,0,0.14,14.0,Cold
72,18,19,0,1,2,4,0,56,22,1,1,0,0.05,5.0,Cold
76,18,7,1,5,4,1,1,63,4,1,1,0,0.03,3.0,Cold
24,9,28,1,5,2,0,2,48,11,0,0,0,0.1,10.0,Cold
28,2,39,1,7,3,0,2,59,15,1,0,1,0.85,85.0,Very Hot
8,13,25,1,9,1,4,1,44,15,1,0,1,0.73,73.0,Hot
36,18,29,1,4,4,2,0,55,24,0,0,1,0.69,69.0,Hot
8,4,16,0,8,1,3,1,55,2,1,1,0,0.04,4.0,Cold
58,4,19,0,0,4,1,2,1,11,1,1,0,0.01,1.0,Cold
60,19,15,0,8,2,4,2,8,2,0,0,0,0.18,18.0,Cold
50,16,45,0,9,2,1,3,4,23,0,0,1,0.97,97.0,Very Hot
28,9,42,0,6,3,0,0,53,29,1,0,1,0.92,92.0,Very Hot
41,4,6,0,3,3,3,3,58,5,1,1,0,0.0,0.0,
64,3,15,1,2,4,1,2,37,13,0,1,0,0.0,0.0,
27,5,44,0,9,3,4,2,49,1,0,0,0,0.2,20.0,Cold
63,3,46,1,5,3,3,3,67,7,1,0,1,0.78,78.0,Very Hot
17,6,47,1,0,3,2,3,19,7,0,1,1,0.82,82.0,Very Hot
73,6,26,0,2,3,4,2,1,10,1,0,0,0.06,6.0,Cold
33,17,22,0,1,2,1,3,29,6,0,0,0,0.0,0.0,
84,2,23,0,8,3,3,3,33,20,0,0,0,0.04,4.0,Cold
77,0,8,1,2,2,4,0,52,12,0,0,0,0.0,0.0,
29,3,34,1,1,2,3,2,41,13,0,0,0,0.07,7.0,Cold
13,5,19,1,3,1,3,1,23,24,0,1,0,0.08,8.0,Cold
46,8,36,0,1,2,3,0,5,28,0,1,1,0.44,44.0,Warm
35,13,41,0,0,2,1,1,71,11,1,0,0,0.08,8.0,Cold
6,11,16,0,5,3,4,3,57,18,0,0,0,0.03,3.0,Cold
82,19,46,1,9,2,0,3,6,2,1,1,1,0.9,90.0,Very Hot
69,3,30,0,7,4,0,1,49,16,0,0,0,0.03,3.0,Cold
47,11,7,0,9,3,1,3,22,2,0,0,0,0.04,4.0,Cold
25,9,14,0,9,3,1,3,4,19,0,0,0,0.13,13.0,Cold
66,6,30,0,1,3,3,0,64,6,0,1,0,0.02,2.0,Cold
10,2,29,0,8,1,4,1,37,1,1,0,0,0.08,8.0,Cold
56,13,45,0,2,3,4,0,31,11,1,0,1,0.85,85.0,Very Hot
30,9,19,0,7,2,2,1,37,18,0,0,0,0.02,2.0,Cold
5,15,38,0,7,4,2,0,45,10,1,0,1,0.9,90.0,Very Hot
33,15,11,1,2,3,0,2,8,18,0,1,0,0.07,7.0,Cold
65,9,48,1,2,3,2,2,40,28,0,1,1,0.89,89.0,Very Hot
18,12,16,0,5,4,2,1,5,1,0,0,0,0.01,1.0,Cold
49,5,41,1,0,3,0,2,28,19,1,0,1,0.89,89.0,Very Hot
11,11,29,0,3,1,0,0,9,16,0,1,0,0.11,11.0,Cold
85,8,28,0,0,2,2,1,2,26,1,0,0,0.12,12.0,Cold
26,12,18,1,2,4,4,2,63,7,0,1,0,0.01,1.0,Cold
63,3,45,1,8,4,2,2,51,15,0,1,1,0.93,93.0,Very Hot
89,10,10,1,4,1,3,1,31,29,1,0,0,0.27,27.0,Warm
86,19,33,0,4,2,3,2,7,1,0,1,0,0.12,12.0,Cold
59,17,49,0,3,1,3,2,30,23,1,0,1,0.94,94.0,Very Hot
27,10,6,1,2,2,1,1,58,21,1,0,0,0.03,3.0,Cold
49,3,43,0,4,1,3,2,3,9,1,1,1,0.79,79.0,Very Hot
77,17,33,0,3,3,4,2,51,2,0,1,0,0.05,5.0,Cold
33,0,19,1,7,1,1,2,56,17,0,1,0,0.17,17.0,Cold
1,6,49,1,3,4,1,2,10,25,1,1,1,0.91,91.0,Very Hot
21,5,37,1,7,4,3,3,61,24,0,0,1,0.92,92.0,Very Hot
55,14,23,0,5,4,2,1,50,10,0,0,0,0.0,0.0,
6,17,9,1,4,1,0,3,47,6,0,0,0,0.06,6.0,Cold
81,10,31,0,3,4,2,3,1,5,0,1,0,0.07,7.0,Cold
69,19,14,0,3,4,2,0,57,8,0,0,0,0.0,0.0,
5,14,36,0,3,3,1,3,38,8,0,0,0,0.14,14.0,Cold
3,15,19,0,8,3,1,3,62,5,0,1,0,0.1,10.0,Cold
53,6,2,0,3,2,1,0,70,12,0,0,0,0.0,0.0,
23,9,36,0,8,2,4,2,65,7,0,0,0,0.13,13.0,Cold
53,11,39,0,9,2,4,2,62,13,1,0,1,0.9,90.0,Very Hot
37,13,7,0,5,1,0,3,56,13,1,0,0,0.01,1.0,Cold
74,4,39,0,9,2,1,0,67,17,0,0,0,0.22,22.0,Cold
74,17,43,0,6,1,3,2,17,4,0,0,1,0.85,85.0,Very Hot
83,4,22,0,9,1,1,0,8,18,0,0,0,0.16,16.0,Cold
17,2,39,1,2,2,4,1,60,10,0,0,0,0.12,12.0,Cold
85,4,10,1,7,2,1,1,40,3,1,0,0,0.02,2.0,Cold
78,16,45,0,2,1,4,1,62,12,1,0,0,0.57,57.0,Hot
73,18,7,1,0,3,1,1,41,1,1,0,0,0.01,1.0,Cold
1,18,28,0,9,4,3,3,12,27,0,0,1,0.96,96.0,Very Hot
51,11,29,0,4,4,0,1,54,11,0,0,0,0.0,0.0,
